RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	RaceClass	DaysSinceRun	LR_Position	LR_NumberRunners	
"17:30:00"	"2024-03-15"	"Cheltenham"	"Jay Jay Reilly (IRE)"	"28.00"	"39.02"	"Handicap Hurdle"	"PU"	"21"	"Durrell, Mr T"	"Skelton, Daniel"	"2m4.5f "	"2"	"27"	"12"	"16"
"14:10:00"	"2024-03-15"	"Cheltenham"	"Mr Freedom"	"28.00"	"56.6"	"Handicap Hurdle"	"13"	"17"	"Goldstein, Marc"	"West, Miss Sheena"	"2m1f "	"1"	"11"	"1"	"6"
"14:10:00"	"2024-03-15"	"Cheltenham"	"Westport Cove (FR)"	"40.00"	"70.84"	"Handicap Hurdle"	"PU"	"17"	"OSullivan, Mr M J M"	"Mullins, W P"	"2m1f "	"1"	"26"	"4"	"8"
"17:30:00"	"2024-03-14"	"Cheltenham"	"Whacker Clan (IRE)"	"8.50"	"12.93"	"Handicap Chase"	"3"	"22"	"Gleeson, Mr J L"	"Bromhead, Henry De"	"3m2.5f "	"2"	"18"	"7"	"16"
"17:30:00"	"2024-03-14"	"Cheltenham"	"Where It All Began (IRE)"	"8.00"	"12.83"	"Handicap Chase"	"4"	"22"	"ONeill, Mr B"	"Elliott, Gordon"	"3m2.5f "	"2"	"25"	"1"	"15"
"17:30:00"	"2024-03-14"	"Cheltenham"	"Demnat (FR)"	"33.00"	"36.17"	"Handicap Chase"	"9"	"22"	"OConnor, Miss A B"	"Williams, Miss Venetia"	"3m2.5f "	"2"	"13"	"3"	"5"
"17:30:00"	"2024-03-14"	"Cheltenham"	"Bowtogreatness (IRE)"	"18.00"	"26.38"	"Handicap Chase"	"11"	"22"	"Andrews, Jack"	"Pauling, Ben"	"3m2.5f "	"2"	"19"	"3"	"12"
"16:10:00"	"2024-03-14"	"Cheltenham"	"Embittered (IRE)"	"80.00"	"145.03"	"Handicap Chase"	"11"	"21"	"James, Mr R"	"Elliott, Gordon"	"2m5f "	"1"	"26"	"3"	"5"
"16:10:00"	"2024-03-14"	"Cheltenham"	"Arctic Bresil"	"11.00"	"17"	"Handicap Chase"	"12"	"21"	"Blackmore, Rachael"	"Bromhead, Henry De"	"2m5f "	"1"	"25"	"2"	"5"
"16:10:00"	"2024-03-14"	"Cheltenham"	"Killer Kane (IRE)"	"40.00"	"81.11"	"Handicap Chase"	"15"	"21"	"Powell, Brendan"	"Tizzard, Joe"	"2m5f "	"1"	"19"	"8"	"12"
"16:10:00"	"2024-03-14"	"Cheltenham"	"Saint Felicien (FR)"	"6.50"	"10.61"	"Handicap Chase"	"BD"	"21"	"Kennedy, J W"	"Elliott, Gordon"	"2m5f "	"1"	"26"	"1"	"6"
"14:10:00"	"2024-03-14"	"Cheltenham"	"Monmiral (FR)"	"25.00"	"32.58"	"Handicap Hurdle"	"1"	"22"	"Cobden, Harry"	"Nicholls, P F"	"3m "	"1"	"19"	"4"	"12"
"14:10:00"	"2024-03-14"	"Cheltenham"	"Cuthbert Dibble (IRE)"	"5.50"	"8.4"	"Handicap Hurdle"	"3"	"22"	"Twiston-Davies, Sam"	"Twiston-Davies, N A"	"3m "	"1"	"26"	"1"	"10"
